N_A,max_cheaper_N_B,successes,p_hat
608,4,8997,0.8997
607,13,8996,0.8996
606,22,8981,0.8981
605,31,8980,0.898
604,40,8975,0.8975
603,49,8974,0.8974
602,58,8965,0.8965
601,67,8960,0.896
600,75,8942,0.8942
598,93,8941,0.8941
599,84,8932,0.8932
596,111,8930,0.893
594,129,8926,0.8926
595,120,8925,0.8925
597,102,8924,0.8924
593,137,8923,0.8923
592,146,8917,0.8917
589,173,8913,0.8913
590,164,8913,0.8913
591,155,8906,0.8906
584,217,8902,0.8902
588,182,8898,0.8898
587,191,8897,0.8897
585,208,8895,0.8895
586,199,8893,0.8893
583,226,8892,0.8892
582,235,8885,0.8885
581,244,8879,0.8879
580,253,8876,0.8876
579,261,8857,0.8857
577,279,8850,0.885
578,270,8846,0.8846
576,288,8840,0.884
575,297,8822,0.8822
574,306,8819,0.8819
573,315,8818,0.8818
572,323,8814,0.8814
570,341,8806,0.8806
571,332,8801,0.8801
569,350,8794,0.8794
568,359,8794,0.8794
567,368,8790,0.879
565,385,8789,0.8789
566,377,8787,0.8787
564,394,8786,0.8786
560,430,8770,0.877
563,403,8769,0.8769
561,421,8765,0.8765
562,412,8764,0.8764
559,439,8753,0.8753
556,465,8740,0.874
558,447,8739,0.8739
553,492,8738,0.8738
555,474,8738,0.8738
557,456,8737,0.8737
552,501,8736,0.8736
554,483,8733,0.8733
551,509,8723,0.8723
550,518,8721,0.8721
