N_A,N_B_90,K,successes,p_hat,cost_yuan
608,5,345056,9000,0.9,9.03354495564233
607,14,345065,9000,0.9,9.033780575091349
609,0,345303,9015,0.9015,9.04001140052097
606,31,345586,9001,0.9001,9.047420323195684
605,41,345659,9000,0.9,9.049331458726618
604,52,345796,9001,0.9001,9.052918110339467
603,66,346125,9004,0.9004,9.06153131019806
601,92,346655,9003,0.9003,9.075406677751413
602,84,346710,9000,0.9,9.07684657438431
599,111,346737,9002,0.9002,9.077553432731367
598,121,346810,9003,0.9003,9.079464568262301
600,104,346856,9002,0.9002,9.080668845446176
597,138,347331,9000,0.9,9.093104316366636
596,149,347468,9000,0.9,9.096690967979486
589,212,347531,9002,0.9002,9.09834030412262
590,205,347650,9002,0.9002,9.10145571683743
592,188,347696,9002,0.9002,9.102659994021307
595,162,347733,9000,0.9,9.103628651756162
593,180,347751,9001,0.9001,9.1040998906542
591,198,347769,9000,0.9,9.104571129552241
594,173,347870,9000,0.9,9.107215303369012
588,229,348052,9000,0.9,9.111980052226956
585,257,348143,9001,0.9001,9.114362426655928
587,240,348189,9002,0.9002,9.115566703839804
584,267,348216,9000,0.9,9.116273562186862
582,286,348298,9000,0.9,9.118420317166814
583,278,348353,9002,0.9002,9.119860213799711
586,252,348390,9002,0.9002,9.120828871534567
581,297,348435,9000,0.9,9.122006968779662
574,390,350418,9000,0.9,9.173921787380236
570,430,350710,9001,0.9001,9.18156632950397
572,414,350820,9000,0.9,9.184446122769762
573,406,350875,9001,0.9001,9.185886019402655
571,424,350893,9002,0.9002,9.186357258300694
569,443,350975,9000,0.9,9.188504013280646
568,453,351048,9000,0.9,9.190415148811582
567,462,351057,9002,0.9002,9.1906507682606
566,472,351130,9002,0.9002,9.192561903791534
565,483,351267,9000,0.9,9.196148555404383
564,494,351404,9002,0.9002,9.19973520701723
563,513,352053,9002,0.9002,9.216725987285395
