starting 0/10000
completed 100/10000; batch=54.31s total=54.31s
completed 200/10000; batch=46.32s total=100.63s
completed 300/10000; batch=50.59s total=151.22s
completed 400/10000; batch=48.44s total=199.66s
completed 500/10000; batch=68.82s total=268.48s
completed 600/10000; batch=81.69s total=350.17s
completed 700/10000; batch=86.06s total=436.23s
completed 800/10000; batch=81.02s total=517.25s
completed 900/10000; batch=91.53s total=608.78s
completed 1000/10000; batch=784.89s total=1393.67s
completed 1100/10000; batch=51.89s total=1445.56s
completed 1200/10000; batch=50.75s total=1496.31s
completed 1300/10000; batch=49.71s total=1546.02s
completed 1400/10000; batch=54.49s total=1600.51s
completed 1500/10000; batch=74.75s total=1675.26s
completed 1600/10000; batch=68.93s total=1744.20s
completed 1700/10000; batch=51.65s total=1795.85s
completed 1800/10000; batch=54.53s total=1850.37s
completed 1900/10000; batch=51.90s total=1902.27s
completed 2000/10000; batch=52.21s total=1954.48s
completed 2100/10000; batch=82.46s total=2036.94s
completed 2200/10000; batch=88.67s total=2125.61s
completed 2300/10000; batch=86.29s total=2211.90s
completed 2400/10000; batch=70.10s total=2282.00s
completed 2500/10000; batch=58.66s total=2340.66s
completed 2600/10000; batch=58.27s total=2398.92s
completed 2700/10000; batch=62.60s total=2461.52s
completed 2800/10000; batch=63.07s total=2524.60s
completed 2900/10000; batch=63.66s total=2588.26s
completed 3000/10000; batch=7922.85s total=10511.11s
completed 3100/10000; batch=57.53s total=10568.64s
completed 3200/10000; batch=53.09s total=10621.73s
completed 3300/10000; batch=54.05s total=10675.78s
completed 3400/10000; batch=52.16s total=10727.94s
completed 3500/10000; batch=44.07s total=10772.01s
completed 3600/10000; batch=50.72s total=10822.73s
completed 3700/10000; batch=58.87s total=10881.60s
completed 3800/10000; batch=54.51s total=10936.12s
completed 3900/10000; batch=76.41s total=11012.53s
completed 4000/10000; batch=73.61s total=11086.14s
completed 4100/10000; batch=79.49s total=11165.63s
completed 4200/10000; batch=73.52s total=11239.15s
completed 4300/10000; batch=77.61s total=11316.76s
completed 4400/10000; batch=73.79s total=11390.55s
completed 4500/10000; batch=70.04s total=11460.59s
completed 4600/10000; batch=73.21s total=11533.80s
completed 4700/10000; batch=73.68s total=11607.49s
completed 4800/10000; batch=69.78s total=11677.27s
completed 4900/10000; batch=70.55s total=11747.81s
completed 5000/10000; batch=67.52s total=11815.34s
completed 5100/10000; batch=75.58s total=11890.92s
completed 5200/10000; batch=70.57s total=11961.49s
completed 5300/10000; batch=72.25s total=12033.75s
completed 5400/10000; batch=69.25s total=12102.99s
completed 5500/10000; batch=71.04s total=12174.04s
completed 5600/10000; batch=70.23s total=12244.27s
completed 5700/10000; batch=71.71s total=12315.98s
completed 5800/10000; batch=73.40s total=12389.37s
completed 5900/10000; batch=64.59s total=12453.96s
completed 6000/10000; batch=68.75s total=12522.71s
completed 6100/10000; batch=66.36s total=12589.07s
completed 6200/10000; batch=74.23s total=12663.30s
completed 6300/10000; batch=75.97s total=12739.27s
completed 6400/10000; batch=70.49s total=12809.76s
completed 6500/10000; batch=74.35s total=12884.11s
completed 6600/10000; batch=69.35s total=12953.46s
completed 6700/10000; batch=65.86s total=13019.32s
completed 6800/10000; batch=72.37s total=13091.69s
completed 6900/10000; batch=68.04s total=13159.73s
completed 7000/10000; batch=76.57s total=13236.30s
completed 7100/10000; batch=72.68s total=13308.98s
completed 7200/10000; batch=70.57s total=13379.55s
completed 7300/10000; batch=74.72s total=13454.27s
completed 7400/10000; batch=69.51s total=13523.78s
completed 7500/10000; batch=70.89s total=13594.67s
completed 7600/10000; batch=73.94s total=13668.61s
completed 7700/10000; batch=71.49s total=13740.10s
completed 7800/10000; batch=74.46s total=13814.55s
completed 7900/10000; batch=71.15s total=13885.70s
completed 8000/10000; batch=73.21s total=13958.91s
completed 8100/10000; batch=74.67s total=14033.57s
completed 8200/10000; batch=74.42s total=14107.99s
completed 8300/10000; batch=72.18s total=14180.18s
completed 8400/10000; batch=75.57s total=14255.74s
completed 8500/10000; batch=66.07s total=14321.81s
completed 8600/10000; batch=72.79s total=14394.60s
completed 8700/10000; batch=64.35s total=14458.96s
completed 8800/10000; batch=76.56s total=14535.52s
completed 8900/10000; batch=75.42s total=14610.93s
completed 9000/10000; batch=65.39s total=14676.33s
completed 9100/10000; batch=65.67s total=14742.00s
completed 9200/10000; batch=66.30s total=14808.30s
completed 9300/10000; batch=78.11s total=14886.40s
completed 9400/10000; batch=71.59s total=14957.99s
completed 9500/10000; batch=73.84s total=15031.83s
completed 9600/10000; batch=69.42s total=15101.25s
completed 9700/10000; batch=78.98s total=15180.23s
completed 9800/10000; batch=132.68s total=15312.91s
completed 9900/10000; batch=133.16s total=15446.08s
completed 10000/10000; batch=133.30s total=15579.38s
