starting segment 0/12500
completed segment 100/12500; batch=122.42s total=122.42s
completed segment 200/12500; batch=120.80s total=243.22s
completed segment 300/12500; batch=114.35s total=357.57s
completed segment 400/12500; batch=109.79s total=467.36s
completed segment 500/12500; batch=119.57s total=586.93s
completed segment 600/12500; batch=117.72s total=704.65s
completed segment 700/12500; batch=117.94s total=822.59s
completed segment 800/12500; batch=111.14s total=933.73s
completed segment 900/12500; batch=114.94s total=1048.67s
completed segment 1000/12500; batch=115.27s total=1163.94s
completed segment 1100/12500; batch=111.44s total=1275.38s
completed segment 1200/12500; batch=120.09s total=1395.47s
completed segment 1300/12500; batch=117.66s total=1513.13s
completed segment 1400/12500; batch=110.56s total=1623.69s
completed segment 1500/12500; batch=111.24s total=1734.93s
completed segment 1600/12500; batch=108.88s total=1843.81s
completed segment 1700/12500; batch=113.00s total=1956.81s
completed segment 1800/12500; batch=120.27s total=2077.08s
completed segment 1900/12500; batch=115.46s total=2192.54s
completed segment 2000/12500; batch=116.57s total=2309.10s
completed segment 2100/12500; batch=113.60s total=2422.70s
completed segment 2200/12500; batch=120.52s total=2543.22s
completed segment 2300/12500; batch=116.09s total=2659.32s
completed segment 2400/12500; batch=116.96s total=2776.27s
completed segment 2500/12500; batch=117.42s total=2893.69s
completed segment 2600/12500; batch=115.60s total=3009.29s
completed segment 2700/12500; batch=114.22s total=3123.52s
completed segment 2800/12500; batch=122.97s total=3246.49s
completed segment 2900/12500; batch=116.23s total=3362.72s
completed segment 3000/12500; batch=118.72s total=3481.44s
completed segment 3100/12500; batch=110.40s total=3591.85s
completed segment 3200/12500; batch=108.47s total=3700.31s
completed segment 3300/12500; batch=115.66s total=3815.97s
completed segment 3400/12500; batch=124.35s total=3940.32s
completed segment 3500/12500; batch=116.95s total=4057.27s
completed segment 3600/12500; batch=115.57s total=4172.85s
completed segment 3700/12500; batch=179.99s total=4352.84s
completed segment 3800/12500; batch=215.17s total=4568.01s
completed segment 3900/12500; batch=130.98s total=4698.99s
completed segment 4000/12500; batch=58.17s total=4757.16s
completed segment 4100/12500; batch=60.87s total=4818.02s
