resuming segment 4100/12500
completed segment 4200/12500; batch=49.83s total=4867.85s
completed segment 4300/12500; batch=47.89s total=4915.74s
completed segment 4400/12500; batch=50.71s total=4966.45s
completed segment 4500/12500; batch=47.76s total=5014.22s
completed segment 4600/12500; batch=48.55s total=5062.77s
completed segment 4700/12500; batch=50.34s total=5113.11s
completed segment 4800/12500; batch=48.30s total=5161.41s
completed segment 4900/12500; batch=50.21s total=5211.61s
completed segment 5000/12500; batch=50.72s total=5262.33s
completed segment 5100/12500; batch=50.13s total=5312.46s
completed segment 5200/12500; batch=51.37s total=5363.83s
completed segment 5300/12500; batch=54.21s total=5418.04s
completed segment 5400/12500; batch=53.59s total=5471.64s
completed segment 5500/12500; batch=50.66s total=5522.30s
